[2026-03-15T03:14:11.840+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T02:51:58.532779+00:00 [queued]>
[2026-03-15T03:14:11.851+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T02:51:58.532779+00:00 [queued]>
[2026-03-15T03:14:11.854+0000] {taskinstance.py:2170} INFO - Starting attempt 3 of 4
[2026-03-15T03:14:11.866+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): extract_bronze_layer> on 2026-03-15 02:51:58.532779+00:00
[2026-03-15T03:14:11.872+0000] {standard_task_runner.py:60} INFO - Started process 4726 to run task
[2026-03-15T03:14:11.876+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'brewery_data_pipeline', 'extract_bronze_layer', 'manual__2026-03-15T02:51:58.532779+00:00', '--job-id', '15', '--raw', '--subdir', 'DAGS_FOLDER/brewery_pipeline.py', '--cfg-path', '/tmp/tmp48j22_qo']
[2026-03-15T03:14:11.878+0000] {standard_task_runner.py:88} INFO - Job 15: Subtask extract_bronze_layer
[2026-03-15T03:14:11.896+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2026-03-15T03:14:11.952+0000] {task_command.py:423} INFO - Running <TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T02:51:58.532779+00:00 [running]> on host 7ae72f5da3a1
[2026-03-15T03:14:12.027+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='brewery_data_pipeline' AIRFLOW_CTX_TASK_ID='extract_bronze_layer' AIRFLOW_CTX_EXECUTION_DATE='2026-03-15T02:51:58.532779+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-03-15T02:51:58.532779+00:00'
[2026-03-15T03:14:12.029+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-03-15T03:14:12.030+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/scripts/extract_breweries.py --execution_date 2026-03-15']
[2026-03-15T03:14:12.041+0000] {subprocess.py:86} INFO - Output:
[2026-03-15T03:15:00.711+0000] {subprocess.py:93} INFO - Iniciando script de extração em: 2026-03-15 03:14:12.210253
[2026-03-15T03:15:00.712+0000] {subprocess.py:93} INFO - Iniciando a busca de cervejarias da API: https://api.openbrewerydb.org/v1/breweries
[2026-03-15T03:15:00.712+0000] {subprocess.py:93} INFO - Página 1 buscada. Total de cervejarias até agora: 50
[2026-03-15T03:15:00.713+0000] {subprocess.py:93} INFO - Página 2 buscada. Total de cervejarias até agora: 100
[2026-03-15T03:15:00.714+0000] {subprocess.py:93} INFO - Página 3 buscada. Total de cervejarias até agora: 150
[2026-03-15T03:15:00.715+0000] {subprocess.py:93} INFO - Página 4 buscada. Total de cervejarias até agora: 200
[2026-03-15T03:15:00.716+0000] {subprocess.py:93} INFO - Página 5 buscada. Total de cervejarias até agora: 250
[2026-03-15T03:15:00.717+0000] {subprocess.py:93} INFO - Página 6 buscada. Total de cervejarias até agora: 300
[2026-03-15T03:15:00.718+0000] {subprocess.py:93} INFO - Página 7 buscada. Total de cervejarias até agora: 350
[2026-03-15T03:15:00.718+0000] {subprocess.py:93} INFO - Página 8 buscada. Total de cervejarias até agora: 400
[2026-03-15T03:15:00.719+0000] {subprocess.py:93} INFO - Página 9 buscada. Total de cervejarias até agora: 450
[2026-03-15T03:15:00.719+0000] {subprocess.py:93} INFO - Página 10 buscada. Total de cervejarias até agora: 500
[2026-03-15T03:15:00.720+0000] {subprocess.py:93} INFO - Página 11 buscada. Total de cervejarias até agora: 550
[2026-03-15T03:15:00.720+0000] {subprocess.py:93} INFO - Página 12 buscada. Total de cervejarias até agora: 600
[2026-03-15T03:15:00.721+0000] {subprocess.py:93} INFO - Página 13 buscada. Total de cervejarias até agora: 650
[2026-03-15T03:15:00.721+0000] {subprocess.py:93} INFO - Página 14 buscada. Total de cervejarias até agora: 700
[2026-03-15T03:15:00.722+0000] {subprocess.py:93} INFO - Página 15 buscada. Total de cervejarias até agora: 750
[2026-03-15T03:15:00.723+0000] {subprocess.py:93} INFO - Página 16 buscada. Total de cervejarias até agora: 800
